n,RS,JS,PJW,ELF,BKDR,SDBM,DJB,DEK,AP
374784,14,13,366,366,13,22,17,28,11
375808,14,13,367,367,13,22,17,28,11
376832,15,13,370,370,13,22,18,28,11
377856,15,13,373,373,13,23,18,28,11
378880,16,13,376,376,13,23,18,28,11
379904,17,13,377,377,13,23,18,29,12
380928,17,13,379,379,13,23,18,29,12
381952,17,13,381,381,13,23,18,29,12
382976,18,13,382,382,14,23,18,29,12
384000,18,13,384,384,14,24,18,29,12
385024,18,13,384,384,14,24,18,29,12
386048,18,13,385,385,14,24,18,30,12
387072,18,14,385,385,14,24,18,31,13
388096,18,14,389,389,14,24,18,31,13
389120,18,14,392,392,14,24,18,31,13
390144,18,14,395,395,14,24,18,31,13
391168,18,14,397,397,14,24,18,31,14
392192,18,15,399,399,14,24,18,31,14
393216,18,15,402,402,14,24,18,31,14
394240,18,15,403,403,14,24,18,31,14
395264,18,15,407,407,14,24,18,31,14
396288,18,15,409,409,14,25,18,31,14
397312,18,15,409,409,14,25,18,32,14
398336,18,15,413,413,14,25,18,33,14
399360,18,15,416,416,14,25,18,33,14
400384,18,15,418,418,14,25,18,33,14
401408,18,15,419,419,15,25,18,33,14
402432,18,15,419,419,15,25,18,33,14
403456,18,15,421,421,15,25,18,33,14
404480,18,15,422,422,15,25,18,34,14
405504,18,15,424,424,15,25,18,34,14
406528,18,15,425,425,15,26,19,35,14
407552,18,15,426,426,17,26,19,35,14
408576,18,15,427,427,17,26,19,35,14
409600,18,15,431,431,17,26,19,35,14
410624,18,15,437,437,17,26,19,35,14
411648,18,15,439,439,17,26,19,35,14
412672,18,15,441,441,17,27,19,35,14
413696,18,15,442,442,17,27,19,35,14
414720,18,15,445,445,17,27,19,36,14
415744,18,15,445,445,17,27,19,36,15
416768,19,16,447,447,17,27,19,36,15
417792,19,16,449,449,17,27,19,36,15
418816,19,16,450,450,17,27,19,36,15
419840,19,17,452,452,17,27,19,37,15
420864,19,17,456,456,17,28,19,37,15
421888,19,17,458,458,17,28,19,37,15
422912,19,17,461,461,17,28,21,37,15
423936,19,17,465,465,17,29,21,37,15
424960,19,17,469,469,17,29,21,38,15
425984,19,17,470,470,17,29,21,38,15
427008,19,17,472,472,18,29,21,38,15
428032,19,17,476,476,18,29,21,38,15
429056,19,17,478,478,18,29,21,38,15
430080,19,17,478,478,18,29,21,38,16
431104,19,17,484,484,18,30,21,38,16
432128,19,17,485,485,18,30,21,39,16
433152,19,17,488,488,18,30,21,39,17
434176,19,17,489,489,18,31,21,39,17
435200,19,17,490,490,18,31,21,39,17
436224,19,17,493,493,18,31,22,39,17
437248,19,17,495,495,18,31,22,39,17
438272,19,17,497,497,18,31,22,39,17
439296,19,17,499,499,18,31,22,39,17
440320,19,17,506,506,19,31,22,39,17
441344,20,17,506,506,19,31,22,39,17
442368,20,17,507,507,19,31,22,39,17
443392,20,17,508,508,19,31,22,40,17
444416,20,17,510,510,20,31,22,40,17
445440,21,17,512,512,20,31,23,40,17
446464,21,17,513,513,20,31,23,40,17
447488,21,19,514,514,20,31,23,40,17
448512,21,19,516,516,20,31,23,41,17
449536,21,19,516,516,20,31,23,42,17
450560,21,20,519,519,20,31,23,42,17
451584,21,20,520,520,20,31,23,42,17
452608,21,20,522,522,20,31,23,42,17
453632,22,20,526,526,20,32,24,42,17
454656,22,20,531,531,20,32,24,42,17
455680,22,21,533,533,20,32,24,42,17
456704,22,21,535,535,20,32,24,42,17
457728,22,21,537,537,20,33,24,42,17
458752,23,21,540,540,20,33,25,42,18
459776,23,22,542,542,20,33,25,42,18
460800,23,22,544,544,20,34,25,42,19
461824,23,22,546,546,20,34,25,42,19
462848,23,22,550,550,20,34,25,42,19
463872,23,22,553,553,20,34,25,43,20
464896,23,22,553,553,21,34,26,43,20
